check_id,run_id,phase,table_name,check_name,expected_value,actual_value,status,severity,details,checked_at
model_1c63fd28aa,provider_model_2026-08-26T23:57:23,provider_model,dim_source_release,row_count_reconciliation,6,6,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_bdce972571,provider_model_2026-08-26T23:57:23,provider_model,dim_geography,row_count_reconciliation,56,56,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_affeea24d1,provider_model_2026-08-26T23:57:23,provider_model,dim_reporting_period,row_count_reconciliation,8,8,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_1ec93079e6,provider_model_2026-08-26T23:57:23,provider_model,dim_facility,row_count_reconciliation,5440,5440,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_cdbe5b5c8f,provider_model_2026-08-26T23:57:23,provider_model,dim_measure,row_count_reconciliation,29,29,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_500766d9ce,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_measure,row_count_reconciliation,67060,67060,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_b6d63a234f,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_state_benchmark,row_count_reconciliation,784,784,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_bc566df389,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_national_benchmark,row_count_reconciliation,14,14,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_ee239a13a9,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_hrrp_measure,row_count_reconciliation,18330,18330,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_3d35519f8a,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_program_score,row_count_reconciliation,2455,2455,PASS,Critical,Modeled row count reconciles to source or expected dimension.,2026-08-26T23:57:23+00:00
model_16ba260e4c,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_measure,declared_grain_duplicate_groups,0,0,PASS,Critical,Declared fact grain includes the dataset source release.,2026-08-26T23:57:23+00:00
model_de4b1a4fc3,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_state_benchmark,declared_grain_duplicate_groups,0,0,PASS,Critical,Declared fact grain includes the dataset source release.,2026-08-26T23:57:23+00:00
model_d744b96863,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_national_benchmark,declared_grain_duplicate_groups,0,0,PASS,Critical,Declared fact grain includes the dataset source release.,2026-08-26T23:57:23+00:00
model_0debd45a13,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_hrrp_measure,declared_grain_duplicate_groups,0,0,PASS,Critical,Declared fact grain includes the dataset source release.,2026-08-26T23:57:23+00:00
model_c374e8261b,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_program_score,declared_grain_duplicate_groups,0,0,PASS,Critical,Declared fact grain includes the dataset source release.,2026-08-26T23:57:23+00:00
model_70c76e7685,provider_model_2026-08-26T23:57:23,provider_model,dim_facility,facility_id_length,0,0,PASS,Critical,Every Facility ID is stored as a six-character string.,2026-08-26T23:57:23+00:00
model_05cdc0a2e1,provider_model_2026-08-26T23:57:23,provider_model,dim_facility,leading_zero_facility_count,862,862,PASS,Critical,Leading-zero Facility IDs reconcile to the source.,2026-08-26T23:57:23+00:00
model_6a15074d29,provider_model_2026-08-26T23:57:23,provider_model,dim_facility,alternate_federal_facility_count,164,164,PASS,High,VA/DoD identifiers are preserved and not mislabeled as CCNs.,2026-08-26T23:57:23+00:00
model_b4f4a6c446,provider_model_2026-08-26T23:57:23,provider_model,dim_facility,source_specific_fallback_facility_count,21,21,PASS,High,Program-source facilities missing from the current General Information release are retained and explicitly flagged.,2026-08-26T23:57:23+00:00
model_b927eb9dac,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_measure,reportable_score_parse_failures,0,0,PASS,Critical,Reportable scores must parse; suppressed values are excluded.,2026-08-26T23:57:23+00:00
model_7ea69a5a61,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_measure,nonreportable_zero_coercions,0,0,PASS,Critical,Missing and suppressed scores must never become zero.,2026-08-26T23:57:23+00:00
model_5f582c933e,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_measure,unexplained_interval_order_violations,0,0,PASS,High,Applicable lower/score/upper intervals are ordered after separating CMS Footnote 29 partial-period exceptions.,2026-08-26T23:57:23+00:00
model_fb6b7c06b6,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_measure,footnote_29_interval_exceptions,0,0,PASS,Medium,Known release-specific Footnote 29 interval exceptions are surfaced as documented exceptions rather than treated as ordinary intervals.,2026-08-26T23:57:23+00:00
model_e5c03eb8cb,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_hrrp_measure,reportable_ratio_parse_failures,0,0,PASS,Critical,Reportable official HRRP ratios must parse.,2026-08-26T23:57:23+00:00
model_d4c828231e,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_program_score,reportable_tps_parse_failures,0,0,PASS,Critical,Reportable official TPS values must parse.,2026-08-26T23:57:23+00:00
model_eeab9c3fcd,provider_model_2026-08-26T23:57:23,provider_model,fact_provider_program_score,unexpected_fiscal_year_rows,0,0,PASS,High,This snapshot is the FY 2026 HVBP file.,2026-08-26T23:57:23+00:00
model_42ef07ad9b,provider_model_2026-08-26T23:57:23,provider_model,dim_measure,incomplete_semantic_metadata,0,0,PASS,Critical,"Every measure requires unit, direction, period semantics, suppression, and interpretation limits.",2026-08-26T23:57:23+00:00
model_f1686cdbf4,provider_model_2026-08-26T23:57:23,provider_model,vw_provider_measure_reporting,view_row_reconciliation,67060,67060,PASS,Critical,Reporting view preserves one row per Provider measure fact.,2026-08-26T23:57:23+00:00
model_75d6447b85,provider_model_2026-08-26T23:57:23,provider_model,vw_provider_benchmark_join_coverage,missing_national_benchmark_rows,0,0,PASS,High,Every Provider measure row matches an official national context row.,2026-08-26T23:57:23+00:00
model_2dc0d5714b,provider_model_2026-08-26T23:57:23,provider_model,vw_provider_benchmark_join_coverage,missing_state_benchmark_rows,0,0,PASS,High,Every Provider measure row matches official state category context.,2026-08-26T23:57:23+00:00
model_f46fe349d6,provider_model_2026-08-26T23:57:23,provider_model,fact_quality_check,source_profile_nonpass_checks,0,0,PASS,Critical,Provider model is gated on a clean accepted source profile.,2026-08-26T23:57:23+00:00
model_164506b4a1,provider_model_2026-08-26T23:57:23,provider_model,database,foreign_key_violations,0,0,PASS,Critical,SQLite foreign-key check across all modeled facts and dimensions.,2026-08-26T23:57:23+00:00
model_266f28a41e,provider_model_2026-08-26T23:57:23,provider_model,database,sqlite_integrity_check,ok,ok,PASS,Critical,SQLite database structural integrity check.,2026-08-26T23:57:23+00:00
