quality_check_key,phase,table_name,check_name,status,severity,details,checked_at
1,source_profile,4gkm-5ypv,candidate_grain_unique,PASS,Critical,Candidate key: State + Measure ID + Start Date + End Date; duplicate groups: 0.,2026-08-26T23:56:38+00:00
2,source_profile,4gkm-5ypv,candidate_key_complete,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-08-26T23:56:38+00:00
3,source_profile,4gkm-5ypv,column_count_reconciles_to_manifest,PASS,Critical,Column names are preserved exactly as published.,2026-08-26T23:56:38+00:00
4,source_profile,4gkm-5ypv,row_count_reconciles_to_manifest,PASS,Critical,CSV data rows exclude the header.,2026-08-26T23:56:38+00:00
5,source_profile,4gkm-5ypv,source_hash_matches_manifest,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-08-26T23:56:38+00:00
6,source_profile,4gkm-5ypv,suppression_text_preserved,PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-08-26T23:56:38+00:00
7,source_profile,632h-zaca,candidate_grain_unique,PASS,Critical,Candidate key: Facility ID + Measure ID + Start Date + End Date; duplicate groups: 0.,2026-08-26T23:56:38+00:00
8,source_profile,632h-zaca,candidate_key_complete,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-08-26T23:56:38+00:00
9,source_profile,632h-zaca,column_count_reconciles_to_manifest,PASS,Critical,Column names are preserved exactly as published.,2026-08-26T23:56:38+00:00
10,source_profile,632h-zaca,facility_id_six_character_string,PASS,Critical,Facility IDs were ingested as strings; 10486 row values begin with zero and 2296 row values are six-character federal VA/DoD identifiers rather than numeric CCNs.,2026-08-26T23:56:38+00:00
11,source_profile,632h-zaca,row_count_reconciles_to_manifest,PASS,Critical,CSV data rows exclude the header.,2026-08-26T23:56:38+00:00
12,source_profile,632h-zaca,source_hash_matches_manifest,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-08-26T23:56:38+00:00
13,source_profile,632h-zaca,suppression_text_preserved,PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-08-26T23:56:38+00:00
14,source_profile,9n3s-kdb3,candidate_grain_unique,PASS,Critical,Candidate key: Facility ID + Measure Name + Start Date + End Date; duplicate groups: 0.,2026-08-26T23:56:38+00:00
15,source_profile,9n3s-kdb3,candidate_key_complete,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-08-26T23:56:38+00:00
16,source_profile,9n3s-kdb3,column_count_reconciles_to_manifest,PASS,Critical,Column names are preserved exactly as published.,2026-08-26T23:56:38+00:00
17,source_profile,9n3s-kdb3,facility_id_six_character_string,PASS,Critical,Facility IDs were ingested as strings; 3354 row values begin with zero and 0 row values are six-character federal VA/DoD identifiers rather than numeric CCNs.,2026-08-26T23:56:38+00:00
18,source_profile,9n3s-kdb3,row_count_reconciles_to_manifest,PASS,Critical,CSV data rows exclude the header.,2026-08-26T23:56:38+00:00
19,source_profile,9n3s-kdb3,source_hash_matches_manifest,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-08-26T23:56:38+00:00
20,source_profile,9n3s-kdb3,suppression_text_preserved,PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-08-26T23:56:38+00:00
21,source_profile,cvcs-xecj,candidate_grain_unique,PASS,Critical,Candidate key: Measure ID + Start Date + End Date; duplicate groups: 0.,2026-08-26T23:56:38+00:00
22,source_profile,cvcs-xecj,candidate_key_complete,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-08-26T23:56:38+00:00
23,source_profile,cvcs-xecj,column_count_reconciles_to_manifest,PASS,Critical,Column names are preserved exactly as published.,2026-08-26T23:56:38+00:00
24,source_profile,cvcs-xecj,row_count_reconciles_to_manifest,PASS,Critical,CSV data rows exclude the header.,2026-08-26T23:56:38+00:00
25,source_profile,cvcs-xecj,source_hash_matches_manifest,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-08-26T23:56:38+00:00
