measure_key,measure_id,measure_name,source_family,domain,unit,direction,official_or_project_defined,measurement_start_date,measurement_end_date,fiscal_year,suppression_rule,business_interpretation,interpretation_limit
1,EDAC_30_AMI,Hospital return days for heart attack patients,unplanned_visits,Unplanned visits - return days,Days per 100 discharges,Lower is better,Official published CMS result,2022-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Negative is fewer acute-care return days than expected; zero is as expected; positive is more than expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
2,EDAC_30_HF,Hospital return days for heart failure patients,unplanned_visits,Unplanned visits - return days,Days per 100 discharges,Lower is better,Official published CMS result,2022-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Negative is fewer acute-care return days than expected; zero is as expected; positive is more than expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
3,EDAC_30_PN,Hospital return days for pneumonia patients,unplanned_visits,Unplanned visits - return days,Days per 100 discharges,Lower is better,Official published CMS result,2022-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Negative is fewer acute-care return days than expected; zero is as expected; positive is more than expected.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
4,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2024-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published hospital-wide readmission rate.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference. Hybrid measure reporting methodology applies."
5,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",unplanned_visits,Unplanned visits - outpatient procedure,"Visits per 1,000 colonoscopies",Lower is better,Official published CMS result,2022-01-01,2024-12-31,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized rate compared with the official national rate when reportable.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
6,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,unplanned_visits,Unplanned visits - outpatient chemotherapy,Admissions per 100 chemotherapy patients,Lower is better,Official published CMS result,2024-01-01,2024-12-31,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized rate compared with the official national rate when reportable.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
7,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,unplanned_visits,Unplanned visits - outpatient chemotherapy,ED visits per 100 chemotherapy patients,Lower is better,Official published CMS result,2024-01-01,2024-12-31,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized rate compared with the official national rate when reportable.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
8,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,unplanned_visits,Unplanned visits - outpatient surgery,Risk-standardized ratio,Lower is better,Official published CMS result,2024-01-01,2024-12-31,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",A ratio is interpreted relative to one using the published better/no-different/worse-than-expected category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
9,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2023-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized 30-day readmission rate and comparison category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
10,READM_30_CABG,Rate of readmission for CABG,unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2023-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized 30-day readmission rate and comparison category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
11,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,unplanned_visits,Readmission,Percent,Lower is better,Official published CMS result,2023-07-01,2025-06-30,0,"Published missing/suppression text and CMS footnote codes; nonreportable values remain null, never zero.",Published risk-standardized 30-day readmission rate and comparison category.,"Public facility-level aggregate; does not support patient-level, causal, or clinical-appropriateness inference."
